ComID Y
109-83-1 0
109-84-2 1
109-86-4 0
109-87-5 0
109-89-7 0
109-99-9 0
110-02-1 0
110-16-7 0
110-17-8 0
110-18-9 0
110-21-4 0
110-26-9 1
110-44-1 0
110-46-3 1
110-49-6 1
110-54-3 0
110-57-6 1
110-58-7 0
110-59-8 0
110-61-2 0
110-62-3 0
110-63-4 0
110-65-6 0
110-69-0 1
110-71-4 1
110-80-5 0
110-82-7 0
110-85-0 0
110-86-1 0
110-88-3 0
110-91-8 0
110-94-1 0
110-96-3 0
110-97-4 0
11097-69-1 0
111-02-4 0
111-14-8 0
111-15-9 1
111-21-7 1
111-30-8 1
111-40-0 0
111-41-1 1
111-42-2 0
111-44-4 1
111-46-6 0
111-64-8 1
111-66-0 0
111-69-3 0
111-71-7 0
111-76-2 0
111-77-3 0
111-84-2 0
111-90-0 0
111-92-2 0
111-96-6 0
1116-40-1 0
1116-54-7 1
112-24-3 1
112-27-6 1
112-34-5 0
112-36-7 0
112-49-2 1
112-52-7 0
112-55-0 0
112-56-1 0
112-57-2 1
112-62-9 0
112-73-2 0
112-80-1 0
112-95-8 0
1120-71-4 1
1122-54-9 0
1122-62-9 0
1129-52-8 1
113-92-8 0
113-98-4 0
114-83-0 1
1143-38-0 0
1147-55-3 1
115-02-6 1
115-07-1 1
115-11-7 0
115-28-6 0
115-29-7 0
115-32-2 0
115-86-6 0
115-90-2 0
115-96-8 0
116-06-3 0
116-14-3 0
116-31-4 1
116-71-2 1
116-83-6 1
116-85-8 1
1162-65-8 1
1163-19-5 0
1165-39-5 1
117-08-8 0
117-10-2 1
117-18-0 1
117-39-5 1
117-61-3 0
117-79-3 1
117-81-7 0
117-82-8 1
117-84-0 0
1172-18-5 0
118-08-1 0
118-52-5 0
118-55-8 0
118-58-1 0
118-71-8 1
118-74-1 0
118-75-2 1
118-79-6 0
118-90-1 0
118-91-2 0
118-92-3 0
118-96-7 1
119-06-2 0
119-15-3 1
119-26-6 1
119-27-7 1
119-32-4 1
119-34-6 1
119-36-8 1
119-39-1 0
119-53-9 0
119-61-9 0
119-64-2 0
119-75-5 0
119-84-6 0
119-90-4 1
119-93-7 1
1191-41-9 1
1193-24-4 0
1195-79-5 0
120-14-9 0
120-32-1 0
120-37-6 1
120-40-1 0
120-57-0 0
120-61-6 0
120-62-7 0
120-66-1 1
120-71-8 1
120-78-5 1
120-80-9 0
120-82-1 0
120-83-2 0
121-14-2 1
121-17-5 0
121-32-4 0
121-33-5 0
121-39-1 0
121-44-8 0
121-47-1 0
121-54-0 0
121-57-3 0
121-66-4 1
121-69-7 0
121-75-5 0
121-88-0 1
121-89-1 1
121-90-4 1
121-92-6 1
1212-29-9 0
122-04-3 1
122-19-0 0
122-20-3 0
122-39-4 0
122-57-6 1
122-59-8 0
122-60-1 1
122-62-3 0
122-66-7 1
122-80-5 1
122-99-6 0
1229-35-2 0
123-05-7 0
123-30-8 0
123-31-9 0
123-33-1 0
123-35-3 0
123-38-6 0
123-39-7 0
123-42-2 0
123-51-3 0
123-72-8 0
123-77-3 1
123-86-4 0
123-91-1 0
123-92-2 0
1239-45-8 1
124-02-7 0
124-04-9 0
124-07-2 0
124-09-4 0
124-18-5 0
124-19-6 0
124-30-1 0
124-40-3 0
124-48-1 0
124-64-1 0
1241-94-7 0
1248-18-6 0
125-33-7 1
126-07-8 0
126-27-2 0
126-72-7 1
126-73-8 0
126-92-1 0
126-98-7 0
126-99-8 0
1260-17-9 1
127-00-4 1
127-07-1 1
127-18-4 0
127-19-5 0
127-69-5 0
12789-03-6 1
128-37-0 0
128-66-5 0
129-15-7 1
129-17-9 1
130-17-6 1
130-26-7 0
1300-72-7 0
13010-07-6 1
13010-08-7 1
13010-10-1 1
13014-24-9 1
13048-33-4 0
13071-79-9 0
13073-35-3 0
13098-39-0 0
131-11-3 0
131-17-9 0
131-53-3 1
131-92-0 0
13107-39-6 1
13114-72-2 0
13147-25-6 1
13171-21-6 1
132-27-4 0
132-64-9 0
132-98-9 0
1321-74-0 0
1321-94-4 0
13256-06-9 1
13256-32-1 1
13284-42-9 0
133-06-2 1
133-07-3 1
133-18-6 0
133-90-4 1
1330-78-5 0
13345-21-6 1
13345-23-8 1
13345-62-5 1
13360-63-9 0
13366-73-9 1
1338-23-4 0
13394-86-0 1
134-20-3 0
134-29-2 1
134-31-6 1
134-32-7 1
134-62-3 0
134-72-5 0
134-90-7 1
13425-98-4 1
135-23-9 0
135-88-6 0
13551-87-6 1
13551-89-8 1
13552-21-1 0
13552-44-8 1
136-35-6 1
136-40-3 1
136-77-6 0
136-95-8 0
13603-07-1 1
13674-84-5 0
13674-87-8 1
13684-63-4 1
137-05-3 1
137-09-7 1
137-17-7 1
137-26-8 1
137-89-3 0
13743-07-2 1
138-59-0 0
13810-83-8 0
13889-92-4 1
139-13-9 0
139-33-3 0
139-65-1 1
139-94-6 1
13952-84-6 0
1397-89-3 0
140-11-4 0
140-29-4 0
140-49-8 1
140-56-7 1
140-67-0 0
140-79-4 1
140-88-5 0
141-32-2 0
141-43-5 0
141-75-3 1
141-78-6 0
141-82-2 0
141-84-4 0
142-04-1 0
142-46-1 0
142-47-2 0
142-83-6 1
142-84-7 0
142-96-1 0
1421-63-2 1
1421-85-8 1
143-07-7 0
143-16-8 0
143-18-0 0
143-27-1 0
14371-10-9 1
144-62-7 0
144-80-9 0
144-82-1 0
144-83-2 0
1455-77-2 0
1456-28-6 1
146-59-8 1
1464-53-5 1
1465-25-4 1
1467-79-4 0
147-24-0 0
147-47-7 0
1477-42-5 0
148-18-5 0
148-24-3 1
148-79-8 1
148-82-3 1
149-29-1 0
149-30-4 0
149-57-5 0
149-91-7 0
14901-07-6 0
14901-08-7 0
1499-54-3 1
150-13-0 0
150-38-9 0
150-68-5 0
150-69-6 0
150-76-5 0
150-78-7 0
1504-74-1 1
151-21-3 0
151-56-4 1
151-67-7 0
15104-03-7 1
15110-74-4 1
15121-84-3 1
15131-84-7 1
1522-92-5 1
153-78-6 1
15356-70-4 0
154-41-6 0
154-69-8 0
154-93-8 1
15481-70-6 1
156-10-5 1
156-43-4 1
156-59-2 0
156-60-5 0
1562-94-3 1
1563-66-2 0
1570-64-5 0
1571-08-0 0
15791-78-3 1
1594-56-5 1
15950-66-0 0
1596-84-5 0
1606-67-3 1
16110-14-8 1
16219-75-3 0
16238-56-5 1
16239-84-2 1
1629-58-9 1
16306-16-4 1
16310-69-3 1
1633-83-6 1
16338-97-9 1
16339-05-2 1
1634-04-4 0
1634-78-2 0
16423-68-0 0
1646-75-9 0
16561-29-8 0
1675-54-3 1
16813-36-8 1
1684-40-8 1
17026-81-2 1
1703-58-8 1
1705-85-7 1
17070-45-0 1
1718-34-9 1
1719-53-5 0
17341-40-1 0
17369-59-4 1
17372-87-1 1
17418-58-5 1
17433-31-7 0
1746-01-6 0
1747-60-0 1
17526-17-9 1
17557-23-2 1
17573-21-6 1
17573-23-8 1
1761-71-3 0
17700-09-3 1
1777-84-0 1
17804-35-2 0
17831-71-9 0
1792-40-1 1
17924-92-4 0
1817-73-8 1
1825-21-4 1
1836-75-5 1
1838-56-8 0
18662-53-8 0
18771-85-2 1
18774-85-1 1
18883-66-4 1
189-55-9 1
1897-45-6 0
191-26-4 1
19111-89-8 0
1912-24-9 0
1918-00-9 0
1918-02-1 0
192-97-2 1
19202-92-7 0
1929-82-4 1
1948-33-0 0
1951-56-0 1
1955-45-9 1
19561-70-7 1
19660-16-3 1
19686-73-8 1
19700-21-1 0
1972-08-3 0
1982-49-6 0
19952-47-7 0
19996-03-3 1
20020-02-4 0
2008-39-1 0
2016-88-8 1
20265-97-8 1
203-64-5 1
2039-87-4 0
2045-52-5 0
205-99-2 1
2050-92-2 0
20589-63-3 1
207-08-9 1
20861-99-8 1
20921-50-0 1
20930-10-3 1
2113-57-7 0
21232-47-3 0
21247-98-3 1
21416-67-1 0
215-58-7 1
2150-55-2 0
21638-36-8 1
2164-17-2 0
21738-42-1 1
21739-91-3 1
2179-59-1 0
218-01-9 1
21829-25-4 0
2185-92-4 1
2186-24-5 1
219-08-9 1
2206-89-5 1
2210-28-8 0
2210-79-9 1
2213-63-0 0
22224-92-6 0
2234-13-1 0
224-41-9 1
224-42-0 1
2243-61-0 1
2243-62-1 1
2244-16-8 0
2244-21-5 0
2275-23-2 1
2288-13-3 0
22888-70-6 0
229-87-8 1
2315-20-0 1
2319-96-2 1
23214-92-8 1
23245-64-9 1
23246-96-0 1
23255-93-8 1
23564-05-8 1
2373-98-0 1
2379-74-0 0
2381-15-9 1
2381-16-0 1
2381-21-7 1
2381-31-9 1
2381-40-0 1
2386-90-5 0
24140-30-5 1
24143-08-6 1
24167-40-6 1
2417-77-8 1
2422-79-9 1
2425-79-8 1
2425-85-6 1
2426-07-5 1
2426-08-6 1
24316-91-4 1
2432-99-7 0
24370-25-0 1
2438-88-2 0
2439-35-2 0
2451-62-9 1
24554-26-5 1
2461-15-6 1
24684-42-2 1
24684-49-9 1
24684-56-8 1
2475-33-4 0
2475-45-8 1
2481-94-9 0
24815-24-5 0
2489-77-2 0
2491-52-3 1
2493-84-7 0
2498-75-1 1
2498-76-2 1
2498-77-3 1
25013-15-4 0
25013-16-5 0
2508-20-5 1
25103-58-6 0
25152-84-5 0
25155-30-0 0
25168-15-4 0
25168-26-7 0
2531-84-2 1
25322-68-3 0
2541-69-7 1
25413-64-3 1
2578-75-8 1
2580-78-1 1
25834-80-4 1
25843-45-2 1
25953-06-4 0
25956-17-6 0
26049-69-4 1
262-20-4 0
26227-73-6 1
26266-68-2 0
2642-98-0 1
26446-35-5 1
2645-07-0 1
26530-20-1 0
26538-44-3 0
2675-77-6 1
26761-40-0 0
26761-45-5 1
271-89-6 0
27208-37-3 1
27343-29-9 1
27354-18-3 1
27591-97-5 1
2782-57-2 0
2782-91-4 0
2783-94-0 0
2784-86-3 0
2784-94-3 1
2814-77-9 1
2832-40-8 1
28322-02-3 1
2835-39-4 0
2835-95-2 1
28407-37-6 0
2855-19-8 0
28553-12-0 0
286-20-4 1
287-92-3 0
2871-01-4 1
2873-97-4 0
2921-88-2 0
29350-73-0 1
29385-43-1 1
2941-64-2 0
2942-42-9 1
29611-03-8 1
29743-15-5 1
29761-21-5 0
298-00-0 1
298-04-4 0
298-18-0 1
298-59-9 0
298-81-7 1
299-75-2 1
29964-84-9 0
301-04-2 0
301-12-2 1
301-13-3 0
3018-12-0 1
302-17-0 1
3025-77-2 1
303-47-9 0
3034-42-2 1
304-28-9 1
305-03-3 1
30516-87-1 1
30560-19-1 0
306-37-6 0
3066-70-4 1
3081-14-9 0
3083-23-6 1
3083-25-8 1
30835-61-1 1
30835-65-5 1
309-00-2 0
309-36-4 0
3101-60-8 1
3105-97-3 1
3121-61-7 0
31297-82-2 1
3132-64-7 1
315-30-0 0
31551-45-8 1
316-14-3 1
316-42-7 0
316-49-4 1
3160-37-0 0
3173-53-3 0
3179-90-6 1
320-67-2 1
3209-22-1 1
32116-25-9 1
3234-02-4 1
3237-50-1 0
32425-83-5 1
3244-90-4 0
3252-43-5 1
32534-81-9 0
32588-76-4 0
326-61-4 0
3266-23-7 1
3268-87-9 0
327-97-9 0
32766-75-9 1
3296-90-0 1
331-39-5 0
3319-31-1 0
3322-93-8 0
33229-34-4 1
333-41-5 0
3333-52-6 0
33389-33-2 1
33389-36-5 1
334-48-5 0
3342-98-1 1
33424-05-4 1
3343-07-5 1
3343-08-6 1
3343-12-2 1
3351-28-8 1
3351-30-2 1
3351-31-3 1
3351-32-4 1
3353-08-0 1
33779-70-3 1
33857-26-0 0
33868-17-6 1
33904-55-1 1
33953-73-0 1
341-69-5 0
343-27-1 1
346-18-9 0
34627-78-6 1
3468-63-1 1
3475-63-6 1
34801-16-6 1
3524-68-3 0
35250-53-4 0
35281-25-5 1
35281-32-4 1
35281-34-6 1
35367-38-5 0
3544-23-8 1
35691-65-7 0
357-57-3 0
3570-75-0 1
36099-26-0 1
36133-88-7 1
36193-75-6 1
3626-28-6 1
363-49-5 1
36355-01-8 0
3648-20-2 0
36504-65-1 1
36504-66-2 1
36504-67-3 1
36504-68-4 1
36536-46-6 1
366-29-0 0
366-70-1 0
367-25-9 1
367-51-1 0
36791-04-5 0
3682-19-7 1
3688-53-7 1
3688-79-7 1
3689-24-5 1
3697-24-3 1
3719-40-2 1
37393-11-6 1
3740-52-1 1
37574-47-3 1
3778-73-2 1
37853-59-1 0
3810-74-0 1
3817-11-6 1
38252-74-3 1
384-22-5 0
38434-77-4 1
3844-63-1 1
38514-71-5 1
38777-13-8 1
38915-49-0 1
39115-11-2 1
39156-41-7 1
393-52-2 1
393-75-9 0
39565-00-9 1
396-01-0 0
39834-38-3 1
4016-14-2 1
406-90-6 1
4067-16-7 1
4074-88-8 0
4080-31-3 1
40855-12-7 1
40911-07-7 1
4097-22-7 1
4098-71-9 0
41122-70-7 0
4170-30-3 1
4196-86-5 0
4196-87-6 0
42011-48-3 1
42028-27-3 1
421-20-5 1
4213-45-0 1
42522-72-5 1
42579-28-2 1
42713-66-6 1
42794-87-6 1
4298-16-2 0
43047-59-2 1
431-03-8 1
43218-55-9 1
4337-65-9 0
434-07-1 0
434-13-9 0
4342-03-4 1
4350-09-8 0
4376-20-9 0
439-14-5 0
4403-61-6 0
4403-90-1 1
4424-06-0 1
4426-50-0 1
443-48-1 1
4444-68-2 0
446-86-6 1
4460-86-0 0
452-86-8 0
4548-53-2 0
4553-62-2 1
458-37-7 0
4584-49-0 1
462-06-6 1
463-04-7 1
463-51-4 1
463-58-1 1
4637-56-3 1
464-10-8 1
464-45-9 0
464-49-3 0
4655-34-9 0
470-82-6 0
4719-04-4 1
476-43-7 1
476-46-0 1
476-66-4 0
478-08-0 1
478-43-3 1
480-22-8 0
480-54-6 1
480-81-9 1
4801-39-2 1
481-72-1 1
481-74-3 1
482-89-3 1
4823-47-6 1
484-20-8 1
485-47-2 0
488-41-5 1
4901-51-3 0
491-35-0 1
494-03-1 1
495-18-1 1
495-48-7 1
496-72-0 1
498-21-5 0
50-00-0 1
50-06-6 1
50-18-0 1
50-21-5 0
50-28-2 0
50-29-3 0
50-30-6 0
50-32-8 1
50-33-9 0
50-34-0 0
50-45-3 0
50-78-2 0
50-79-3 0
50-84-0 0
500-66-3 0
501-30-4 1
502-44-3 0
50283-78-8 1
503-09-3 1
503-30-0 1
5036-03-3 1
504-29-0 0
504-88-1 1
505-22-6 1
506-77-4 0
509-14-8 1
51-03-6 0
51-12-7 1
51-17-2 0
51-18-3 1
51-21-8 0
51-28-5 0
51-36-5 0
51-43-4 1
51-44-5 0
51-52-5 0
51-61-6 1
51-65-0 0
51-75-2 1
510-15-6 0
512-56-1 1
513-37-1 1
513-86-0 0
5131-58-8 1
5131-60-2 1
51325-35-0 1
51461-16-6 1
517-28-2 0
518-47-8 0
518-82-1 1
51938-12-6 1
51938-13-7 1
51938-14-8 1
51938-15-9 1
52-24-4 1
52-51-7 0
52-52-8 0
52-68-6 1
52021-61-1 1
5208-87-7 0
521-31-3 0
521-61-9 1
52171-92-3 1
52171-93-4 1
523-44-4 0
523-47-7 0
525-47-3 1
525-64-4 1
526-75-0 0
527-53-7 0
527-85-5 0
5275-69-4 1
52819-96-2 1
529-19-1 0
529-20-4 0
52918-63-5 0
53-03-2 1
53-19-0 0
53-70-3 1
53-86-1 0
53-94-1 1
53-95-2 1
53-96-3 1
53043-28-0 1
5307-14-2 1
531-82-8 1
531-85-1 1
53198-46-2 1
532-27-4 0
532-28-5 0
532-82-1 1
5323-95-5 0
533-74-4 1
5336-53-8 0
534-07-6 1
534-22-5 0
535-80-8 0
535-83-1 0
536-33-4 0
536-90-3 1
537-92-8 0
53737-95-4 1
53757-28-1 1
53757-29-2 1
53757-30-5 1
53757-31-6 1
53797-18-5 1
538-23-8 1
538-74-9 0
538-75-0 0
539-48-0 0
5392-40-5 0
5397-31-9 0
54-11-5 0
54-31-9 0
54-42-2 0
54-88-6 1
540-23-8 1
540-51-2 1
540-59-0 0
540-73-8 0
5401-94-5 1
5407-04-5 1
541-73-1 0
54150-69-5 1
542-56-3 1
542-75-6 1
544-63-8 0
54484-90-1 1
54484-91-2 1
545-06-2 1
546-80-5 0
5461-85-8 1
5464-79-9 1
5466-77-3 0
5466-84-2 1
547-58-0 0
548-57-2 1
54827-17-7 0
54897-63-1 1
549-38-2 1
5493-45-8 1
55-18-5 1
55-21-0 0
55-55-0 1
55-86-7 1
55-98-1 1
550-60-7 1
550-74-3 1
55090-44-3 1
551-06-4 1
551-92-8 1
552-16-9 1
552-30-7 0
552-89-6 1
55256-53-6 1
55256-58-1 1
553-24-2 1
55380-34-2 1
554-00-7 1
554-10-9 1
55446-27-0 1
555-16-8 1
555-30-6 0
55556-85-9 1
55556-88-2 1
55556-91-7 1
55556-92-8 1
55556-93-9 1
55556-94-0 1
55557-00-1 1
55557-02-3 1
55566-30-8 0
556-08-1 0
556-52-5 1
55621-29-9 1
557-11-9 1
55738-54-0 1
5589-96-8 1
55936-76-0 1
55936-77-1 1
56-04-2 0
56-18-8 0
56-23-5 0
56-40-6 0
56-49-5 1
56-53-1 0
56-54-2 0
56-55-3 1
56-57-5 1
56-72-4 0
56-75-7 0
56-81-5 0
56-93-9 0
56222-35-6 1
563-12-2 0
563-41-7 0
563-47-3 0
56316-37-1 1
5634-39-9 1
568-75-2 1
56892-30-9 1
56892-33-2 1
569-57-3 0
569-64-2 0
56986-35-7 1
56986-36-8 1
57-11-4 0
57-13-6 0
57-14-7 1
57-41-0 0
57-55-6 0
57-57-8 1
57-63-6 0
57-66-9 0
57-67-0 0
57-68-1 0
57-71-6 0
57-74-9 0
57-83-0 0
57-97-6 1
570-24-1 1
57018-52-7 1
57074-49-4 1
57074-51-8 1
57117-24-5 1
5716-15-4 1
57404-88-3 1
575-41-7 0
575-43-9 0
57541-73-8 1
576-24-9 0
576-26-1 0
577-59-3 0
578-46-1 0
578-66-5 1
578-67-6 1
57816-08-7 1
58-08-2 0
58-14-0 0
58-15-1 1
58-33-3 0
58-54-8 0
58-55-9 0
58-89-9 0
58-90-2 0
58-93-5 0
58-94-6 0
580-16-5 0
580-20-1 0
581-89-5 1
58131-55-8 1
58131-57-0 1
58139-46-1 1
58139-48-3 1
58139-51-8 1
58139-52-9 1
58139-53-0 1
58209-98-6 1
583-39-1 0
583-78-8 0
5831-08-3 1
5831-09-4 1
5831-10-7 1
5831-11-8 1
5831-12-9 1
5831-16-3 1
584-84-9 1
58683-84-4 1
589-18-4 0
58917-67-2 1
59-30-3 0
59-31-4 0
59-50-7 0
59-87-0 1
59-89-2 1
59-92-7 1
590-17-0 0
591-17-3 0
591-27-5 1
591-87-7 1
592-41-6 0
592-62-1 0
5926-90-9 1
593-56-6 0
593-60-2 1
594-42-3 1
594-71-8 1
594-72-9 1
597-25-1 0
598-38-9 1
598-55-0 0
59820-43-8 1
5989-27-5 0
599-79-1 0
59901-89-2 1
59901-90-5 1
59901-91-6 1
60-09-3 1
60-11-7 1
60-29-7 0
60-33-3 0
60-35-5 0
60-51-5 1
60-57-1 0
60-80-0 0
600-25-9 1
60197-68-4 1
602-38-0 1
602-60-8 1
602-87-9 1
60223-52-1 1
603-34-9 0
603-35-0 0
603-50-9 0
603-54-3 0
603-83-8 1
604-75-1 0
6041-94-7 1
60448-19-3 1
605-71-0 1
606-37-1 1
607-30-7 1
607-34-1 1
607-35-2 1
607-57-8 1
607-91-0 0
608-25-3 0
608-71-9 0
608-93-5 0
6088-51-3 0
609-19-8 0
609-20-1 1
609-31-4 0
60967-89-7 1
6098-44-8 1
61-25-6 0
61-57-4 1
61-76-7 0
61-82-5 0
610-14-0 1
610-15-1 1
610-49-1 1
610-66-2 1
610-67-3 1
6109-97-3 1
611-06-3 1
611-09-6 1
611-32-5 1
611-36-9 0
6111-78-0 1
6112-76-1 1
612-23-7 1
612-58-8 1
612-60-2 1
612-64-6 0
612-82-8 1
612-83-9 1
613-13-8 1
613-47-8 1
613-50-3 1
613-93-4 0
614-45-9 1
614-95-9 1
6146-52-7 1
615-05-4 1
615-53-2 1
616-23-9 1
61691-82-5 1
61691-83-6 1
61695-72-5 1
61695-73-6 1
61695-74-7 1
61702-44-1 1
61734-86-9 1
61734-88-1 1
61734-89-2 1
61734-90-5 1
61785-52-2 1
61785-54-4 1
61785-55-5 1
61785-56-6 1
61785-57-7 1
61785-70-4 1
61785-84-0 1
619-17-0 1
619-23-8 1
619-80-7 1
62-23-7 1
62-44-2 0
62-50-0 1
62-53-3 0
62-55-5 0
62-56-6 0
62-73-7 1
62-75-9 1
620-22-4 0
62018-89-7 1
62018-91-1 1
62018-92-2 1
621-31-8 1
621-33-0 1
621-42-1 0
621-64-7 1
621-90-9 1
6219-89-2 1
622-51-5 0
6225-06-5 0
623-15-4 0
623-17-6 1
623-30-3 0
6236-05-1 1
624-18-0 1
624-76-0 1
624-83-9 0
624-92-0 0
62450-06-0 1
62450-07-1 1
625-48-9 1
625-86-5 0
62573-57-3 1
62625-14-3 1
62641-66-1 1
62641-67-2 1
62641-68-3 1
62641-69-4 1
62641-70-7 1
62681-13-4 1
627-05-4 0
627-11-2 0
627-18-9 1
627-30-5 1
627-93-0 0
628-02-4 0
628-94-4 0
6281-23-8 1
6285-57-0 1
6287-38-3 0
62884-26-8 1
629-14-1 1
63-05-8 0
63-25-2 1
63-56-9 0
63-92-3 1
630-16-0 1
630-20-6 0
6300-61-4 1
63038-82-4 1
63041-90-7 1
631-64-1 1
6317-18-6 0
632-79-1 0
632-99-5 1
63224-45-3 1
6325-54-8 1
633-65-8 0
6332-56-5 1
634-66-2 0
634-90-2 0
634-93-5 0
63408-86-6 1
63412-06-6 1
6358-07-2 1
6358-23-2 1
6358-31-2 0
636-21-5 1
636-26-0 0
63642-50-2 1
6369-59-1 1
637-92-3 0
6373-74-6 1
638-03-9 0
64-17-5 0
64-18-6 0
64-19-7 0
64-67-5 1
64-69-7 1
64-75-5 0
64-77-7 0
64-86-8 0
64201-63-4 1
643-22-1 0
645-00-1 0
645-05-6 0
645-09-0 1
645-12-5 1
645-49-8 0
645-62-5 0
64521-09-1 1
6459-94-5 1
6471-49-4 1
65-45-2 0
65-61-2 1
65-85-0 0
65-86-1 0
6530-27-4 1
6533-68-2 0
6534-28-7 1
65445-60-5 1
65445-61-6 1
66-27-3 1
66-71-7 0
66-75-1 1
66-81-9 0
6610-08-8 1
66212-60-0 1
66267-19-4 1
6652-04-6 1
66842-41-9 1
66842-42-0 1
67-20-9 1
67-21-0 0
67-48-1 0
67-56-1 0
67-63-0 0
67-64-1 0
67-66-3 0
67-68-5 0
67-72-1 0
67-97-0 0
671-16-9 0
673-06-3 0
67410-22-4 1
67508-85-4 1
67508-86-5 1
6754-13-8 0
6789-88-4 0
6795-23-9 1
68-11-1 0
68-12-2 0
68-26-8 1
680-31-9 0
6807-96-1 1
6810-26-0 1
68107-25-5 1
6837-97-4 1
684-93-5 1
68688-86-8 1
68688-87-9 1
69-05-6 1
69-09-0 0
69-65-8 0
69-72-7 0
693-13-0 0
693-98-1 0
6959-47-3 1
6959-48-4 1
6960-42-5 1
69655-05-6 1
69657-88-1 1
69657-89-2 1
69658-13-5 1
69658-14-6 1
69658-16-8 1
69658-17-9 1
69686-05-1 1
70-25-7 1
70-30-4 0
70-34-8 1
7068-83-9 1
709-98-8 0
7090-25-7 1
71-36-3 0
71-41-0 0
71-43-2 0
71-55-6 0
71-58-9 0
710-25-8 1
7149-26-0 0
7166-19-0 1
7177-48-2 0
7195-43-9 1
72-14-0 0
72-20-8 0
72-43-5 0
72-54-8 0
72-55-9 0
72-56-0 1
720-69-4 1
7213-59-4 1
723-46-6 0
7247-89-4 1
73-22-3 0
73-49-4 0
7320-37-8 0
7350-43-8 1
738-70-5 0
74-11-3 0
74-31-7 1
74-83-9 1
74-87-3 1
74-89-5 0
74-96-4 1
74-97-5 1
7470-44-2 1
7481-89-2 1
7492-66-2 0
75-00-3 1
75-01-4 1
75-04-7 0
75-05-8 0
75-07-0 0
75-09-2 1
75-12-7 0
75-15-0 0
75-21-8 1
75-25-2 1
75-29-6 1
75-31-0 0
75-34-3 0
75-36-5 0
75-38-7 1
75-47-8 1
75-50-3 0
75-52-5 0
75-55-8 1
75-56-9 1
75-64-9 0
75-65-0 0
75-69-4 0
75-83-2 0
75-86-5 0
75-87-6 1
75-91-2 1
75-95-6 0
75-96-7 1
756-79-6 0
759-73-9 1
759-94-4 0
76-01-7 0
76-03-9 0
76-06-2 1
76-12-0 1
76-38-0 0
76-44-8 0
764-42-1 0
765-34-4 1
7661-55-4 1
7665-72-7 1
7673-09-8 0
7681-76-7 1
77-06-5 0
77-09-8 0
77-47-4 0
77-65-6 0
77-73-6 0
